Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico
0,0.0,0.003648,0.005096
1,0.0,2.4e-05,0.001448
2,0.0,2.4e-05,0.001448
3,0.0,2.4e-05,0.001448
4,0.0005099773406982422,2.4e-05,0.001448
5,0.0007126331329345703,0.000557,0.001981
6,0.0,2.4e-05,0.001448
7,0.0006473064422607422,2.4e-05,0.001448
8,0.0,2.4e-05,0.001448
9,0.0,2.4e-05,0.001448
