Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico
0,0.0,0.008256,0.011616
1,0.0022735595703125,0.0008,0.004136
2,0.0015439987182617188,0.000744,0.00408
3,0.0,0.000744,0.00408
4,0.0,0.000744,0.00408
5,0.0,0.000744,0.00408
6,0.0006906986236572266,0.000744,0.00408
7,0.0,0.000744,0.00408
8,7.390975952148438e-05,0.000744,0.00408
9,0.0,0.000744,0.00408
