Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico
0,0.0,0.000464,0.000576
1,0.0,2.4e-05,0.000112
2,0.0,2.4e-05,0.000112
3,0.0,2.4e-05,0.000112
4,0.0,2.4e-05,0.000112
5,0.0,2.4e-05,0.000112
6,0.0,2.4e-05,0.000112
7,0.0,2.4e-05,0.000112
8,0.0,2.4e-05,0.000112
9,0.0,2.4e-05,0.000112
