Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico
0,0.0,0.004216,0.007104
1,0.0,2.4e-05,0.002888
2,0.0,0.000557,0.003421
3,0.0,2.4e-05,0.002888
4,0.0005970001220703125,2.4e-05,0.002888
5,0.0,2.4e-05,0.002888
6,0.0,2.4e-05,0.002888
7,0.0,2.4e-05,0.002888
8,0.0006387233734130859,2.4e-05,0.002888
9,0.0010292530059814453,2.4e-05,0.002888
