Iteracao,Tempo de Execucao,Memoria Atual,Memoria Pico
0,0.0,0.010744,0.018768
1,0.0,0.00152,0.0096
2,0.0,0.001464,0.0096
3,0.0010144710540771484,0.001464,0.0096
4,0.0,0.001464,0.0096
5,0.0,0.001464,0.0096
6,0.0,0.001645,0.009781
7,0.0,0.001464,0.0096
8,0.0,0.001464,0.0096
9,0.0,0.001464,0.0096
